Country/Region,2021,2020,2019,2018
Bangladesh,76.9,77.1,83.3,97.1
Chad,75.9,75.9,75.9,75.9
Pakistan,66.8,59.0,65.8,74.3
Tajikistan,59.4,30.9,45.15,45.15
India,58.1,51.9,58.1,72.5
Oman,53.9,44.4,49.15,49.15
Kyrgyzstan,50.8,43.5,33.2,42.5
Bahrain,49.8,39.7,46.8,59.8
Iraq,49.7,49.7,49.7,49.7
Nepal,46.0,39.2,44.5,54.1
Sudan,44.1,44.1,44.1,44.1
Uzbekistan,42.8,29.9,41.2,34.3
Qatar,38.2,44.3,41.25,41.25
Afghanistan,37.5,46.5,58.8,61.8
United Arab Emirates,36.0,29.2,38.9,49.9
Montenegro,35.2,26.1,30.650000000000002,30.650000000000002
Indonesia,34.3,40.7,51.7,42.0
Nigeria,34.0,34.0,34.0,34.0
Armenia,33.9,24.9,25.5,28.099999999999998
Mongolia,33.1,46.6,62.0,58.5
Saudi Arabia,32.7,23.3,22.1,26.03333333333333
China,32.6,34.7,39.1,41.2
Kazakhstan,31.1,21.9,23.6,29.8
Iran,30.3,27.2,24.3,25.0
Kuwait,29.7,34.0,38.3,56.0
Peru,29.6,17.9,23.3,28.0
Egypt,29.1,29.1,29.1,29.1
Bosnia Herzegovina,27.8,40.6,34.6,40.0
Uganda,27.6,26.1,29.1,40.8
Ghana,25.9,26.9,30.3,27.7
Myanmar,25.9,29.4,31.0,28.766666666666666
Lebanon,25.7,25.7,25.7,25.7
Serbia,25.5,24.3,23.3,23.9
North Macedonia,25.4,30.6,32.4,35.5
Croatia,25.4,21.2,19.1,22.2
Vietnam,24.7,28.0,34.1,32.9
Ethiopia,23.9,14.7,20.1,27.1
Syria,23.0,23.0,23.0,23.0
South Africa,22.7,18.0,21.6,20.76666666666667
Chile,21.7,19.3,22.6,24.9
Laos,21.5,22.4,23.1,22.333333333333332
Georgia,21.0,20.4,20.1,20.5
Madagascar,21.0,20.0,20.5,20.5
Turkmenistan,20.4,17.0,18.7,18.7
Thailand,20.2,21.4,24.3,26.4
Turkey,20.0,18.7,20.6,21.9
Algeria,20.0,20.2,21.2,20.46666666666667
Cambodia,19.8,21.1,21.1,20.1
Guatemala,19.5,19.2,20.2,19.633333333333336
Malaysia,19.4,15.6,19.4,18.133333333333333
Mexico,19.3,18.9,20.0,20.3
South Korea,19.1,19.5,24.8,24.0
Poland,19.1,16.9,18.7,22.4
Greece,19.0,18.4,22.5,19.966666666666665
Israel,18.7,16.9,20.8,18.6
Ukraine,18.5,19.2,16.6,14.0
Azerbaijan,17.6,17.6,17.6,17.6
Sri Lanka,17.4,22.4,25.2,32.0
Macao SAR,17.0,17.8,23.5,21.2
Jordan,16.5,14.9,18.3,16.566666666666666
Bulgaria,16.3,27.5,25.5,25.8
Taiwan,16.2,15.0,17.2,18.5
Slovakia,16.0,15.3,16.1,18.5
Hong Kong SAR,15.9,15.4,20.3,20.2
Philippines,15.6,12.8,17.6,14.6
Hungary,15.5,14.3,14.6,16.8
Romania,15.3,15.8,18.3,18.6
Italy,15.2,18.5,17.1,14.9
Cyprus,14.8,15.8,19.7,17.6
Kosovo,14.7,20.0,23.5,30.4
Kenya,14.3,14.2,14.25,14.25
Uruguay,14.2,14.2,14.2,14.2
Colombia,14.1,15.6,14.6,13.9
Czech Republic,13.9,12.3,14.4,20.2
Singapore,13.8,11.8,19.0,14.8
Brazil,13.6,14.2,15.8,16.3
Malta,13.5,11.8,9.4,11.0
Slovenia,13.3,13.3,13.3,13.3
Lithuania,13.2,11.7,14.5,17.5
Albania,12.5,16.0,14.25,14.25
Russia,12.3,9.3,9.9,11.4
Honduras,11.8,11.8,11.8,11.8
Belgium,11.5,8.9,12.5,13.5
Austria,11.4,10.9,12.2,15.0
France,11.4,11.1,12.3,13.2
Netherlands,11.3,9.7,10.9,11.7
Angola,11.0,13.0,15.9,13.299999999999999
Switzerland,10.8,9.0,10.9,11.6
Spain,10.7,10.4,9.7,10.3
Germany,10.6,10.1,11.0,13.0
USA,10.3,9.6,9.0,9.1
Denmark,9.6,9.4,9.6,9.533333333333333
Japan,9.1,9.8,11.4,12.0
Luxembourg,9.0,9.0,9.6,11.2
United Kingdom,8.8,8.3,10.5,10.8
Canada,8.5,7.3,7.7,7.9
Ecuador,8.4,7.6,8.6,8.200000000000001
Argentina,8.2,14.2,14.6,12.333333333333334
Ireland,8.0,8.6,10.6,9.5
Costa Rica,7.8,8.2,10.4,8.799999999999999
Norway,7.5,5.7,6.9,7.6
Andorra,7.3,7.4,7.35,7.35
Liechtenstein,7.2,7.2,7.2,7.2
Trinidad and Tobago,7.1,7.1,7.1,7.1
Portugal,7.1,9.1,9.3,9.4
New Zealand,6.8,7.0,7.5,7.7
Sweden,6.6,5.0,6.6,7.4
Iceland,6.1,7.2,5.5,5.0
Estonia,5.9,5.9,6.2,7.2
Australia,5.7,7.6,8.0,6.8
Bahamas,5.5,5.5,5.5,5.5
Grenada,5.5,5.5,5.5,5.5
Finland,5.5,5.0,5.6,6.6
"Bonaire, Saint Eustatius and Saba",5.1,5.1,5.1,5.1
Cape Verde,5.1,5.1,5.1,5.1
Puerto Rico,4.8,3.7,10.2,13.7
U.S. Virgin Islands,4.5,3.7,3.5,3.9
New Caledonia,3.8,3.7,3.75,3.75
